parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,rain,84012,84017,84023,84032,84038,84124,84148,84165,85114,85116,max,coef,noppt,lin,cap,n,sublim,trncf,radmax,adj,sq,exp,thresh,frac,rate,allsnow
adjmix_rain:hru_84012:mon_1,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_10,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_11,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_12,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_2,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_3,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_4,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_5,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_6,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_7,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_8,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84012:mon_9,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,mon,,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_1,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_10,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_11,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_12,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_2,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_3,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_4,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_5,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_6,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_7,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_8,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84017:mon_9,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,mon,,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_1,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_10,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_11,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_12,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_2,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_3,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_4,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_5,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_6,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_7,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_8,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84023:mon_9,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,mon,,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84032:mon_1,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84032:mon_10,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84032:mon_11,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84032:mon_12,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84032:mon_2,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84032:mon_3,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84032:mon_4,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84032:mon_5,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84032:mon_6,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84032:mon_7,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84032:mon_8,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84032:mon_9,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,mon,,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84038:mon_1,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84038:mon_10,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84038:mon_11,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84038:mon_12,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84038:mon_2,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84038:mon_3,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84038:mon_4,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84038:mon_5,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84038:mon_6,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84038:mon_7,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84038:mon_8,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84038:mon_9,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,mon,,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84124:mon_1,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84124:mon_10,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84124:mon_11,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84124:mon_12,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84124:mon_2,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84124:mon_3,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84124:mon_4,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84124:mon_5,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84124:mon_6,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84124:mon_7,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84124:mon_8,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84124:mon_9,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,mon,,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84148:mon_1,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84148:mon_10,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84148:mon_11,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84148:mon_12,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84148:mon_2,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84148:mon_3,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84148:mon_4,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84148:mon_5,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84148:mon_6,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84148:mon_7,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84148:mon_8,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84148:mon_9,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,mon,,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84165:mon_1,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84165:mon_10,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84165:mon_11,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84165:mon_12,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84165:mon_2,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84165:mon_3,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84165:mon_4,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84165:mon_5,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84165:mon_6,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84165:mon_7,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84165:mon_8,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_84165:mon_9,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,mon,,,,,,,,,,,,,,,,,,
adjmix_rain:hru_85114:mon_1,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,
adjmix_rain:hru_85114:mon_10,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,
adjmix_rain:hru_85114:mon_11,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,
adjmix_rain:hru_85114:mon_12,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,
adjmix_rain:hru_85114:mon_2,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,
adjmix_rain:hru_85114:mon_3,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,
adjmix_rain:hru_85114:mon_4,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,
adjmix_rain:hru_85114:mon_5,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,
adjmix_rain:hru_85114:mon_6,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,
adjmix_rain:hru_85114:mon_7,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,
adjmix_rain:hru_85114:mon_8,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,
adjmix_rain:hru_85114:mon_9,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,mon,,,,,,,,,,,,,,,,,
adjmix_rain:hru_85116:mon_1,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,
adjmix_rain:hru_85116:mon_10,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,
adjmix_rain:hru_85116:mon_11,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,
adjmix_rain:hru_85116:mon_12,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,
adjmix_rain:hru_85116:mon_2,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,
adjmix_rain:hru_85116:mon_3,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,
adjmix_rain:hru_85116:mon_4,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,
adjmix_rain:hru_85116:mon_5,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,
adjmix_rain:hru_85116:mon_6,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,
adjmix_rain:hru_85116:mon_7,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,
adjmix_rain:hru_85116:mon_8,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,
adjmix_rain:hru_85116:mon_9,log,factor,1.0,0.6,1.4,obs_combo_5,1.0,0.0,1,hru,,,,,,,,,,mon,,,,,,,,,,,,,,,,
carea_max:hru_84012,log,factor,0.2294,0.18352,0.2752799999999999,obs_combo_1,1.0,0.0,1,,,,,,,,,,,,hru,,,,,,,,,,,,,,,
carea_max:hru_84017,log,factor,0.771654,0.6173232,0.9259848,obs_combo_1,1.0,0.0,1,,,,,,,,,,,,hru,,,,,,,,,,,,,,,
carea_max:hru_84023,log,factor,0.236148,0.1889184,0.2833776,obs_combo_1,1.0,0.0,1,,,,,,,,,,,,hru,,,,,,,,,,,,,,,
carea_max:hru_84032,log,factor,0.653488,0.5227904,0.7841855999999999,obs_combo_1,1.0,0.0,1,,,,,,,,,,,,hru,,,,,,,,,,,,,,,
carea_max:hru_84038,log,factor,0.171317,0.1370536,0.2055804,obs_combo_1,1.0,0.0,1,,,,,,,,,,,,hru,,,,,,,,,,,,,,,
carea_max:hru_84124,log,factor,0.114285,0.091428,0.137142,obs_combo_1,1.0,0.0,1,,,,,,,,,,,,hru,,,,,,,,,,,,,,,
carea_max:hru_84148,log,factor,0.143949,0.1151592,0.1727388,obs_combo_1,1.0,0.0,1,,,,,,,,,,,,hru,,,,,,,,,,,,,,,
carea_max:hru_84165,log,factor,0.183103,0.1464824,0.2197236,obs_combo_1,1.0,0.0,1,,,,,,,,,,,,hru,,,,,,,,,,,,,,,
carea_max:hru_85114,log,factor,0.143847,0.1150776,0.1726164,obs_combo_1,1.0,0.0,1,,,,,,,,,,,,hru,,,,,,,,,,,,,,,
carea_max:hru_85116,log,factor,0.175056,0.1400448,0.2100672,obs_combo_1,1.0,0.0,1,,,,,,,,,,,,hru,,,,,,,,,,,,,,,
cecn_coef:hru_84012:mon_1,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,mon,,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84012:mon_10,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,mon,,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84012:mon_11,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,mon,,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84012:mon_12,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,mon,,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84012:mon_2,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,mon,,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84012:mon_3,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,mon,,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84012:mon_4,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,mon,,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84012:mon_5,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,mon,,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84012:mon_6,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,mon,,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84012:mon_7,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,mon,,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84012:mon_8,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,mon,,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84012:mon_9,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,mon,,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84017:mon_1,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,mon,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84017:mon_10,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,mon,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84017:mon_11,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,mon,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84017:mon_12,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,mon,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84017:mon_2,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,mon,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84017:mon_3,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,mon,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84017:mon_4,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,mon,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84017:mon_5,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,mon,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84017:mon_6,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,mon,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84017:mon_7,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,mon,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84017:mon_8,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,mon,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84017:mon_9,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,mon,,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84023:mon_1,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,,mon,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84023:mon_10,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,,mon,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84023:mon_11,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,,mon,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84023:mon_12,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,,mon,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84023:mon_2,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,,mon,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84023:mon_3,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,,mon,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84023:mon_4,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,,mon,,,,,,,,,hru,,,,,,,,,,,,,,
cecn_coef:hru_84023:mon_5,log,factor,5.000000000000001,4.5,5.5,obs_combo_4,1.0,0.0,1,,,,mon,,,,,,,,,hru,,,,,,,,,,,,,,
